,Date,Ticker,NAV,Share out standing,Asset of class,Asset of fund,Distribution yield,YTM
0,demo,demo,demo,demo,demo,demo,demo,demo
1,2020/7/10,EIMI,29.45,"482,624,707","14,211,807,088","14,551,439,423",2.38,-
2,2020/7/10,IWDA,60.63,"381,473,169","23,129,936,325","23,755,663,599",1.74,-
3,2020/7/10,DPYA,4.57,"20,037,652","91,583,460","2,079,512,040",3.7,-
4,2020/7/10,LQDA,6.37,"371,685,380","2,368,771,851","11,149,116,286",3.09,2.16%
5,2020/7/10,EMCA,5.73,"65,266,066","374,075,268","1,072,518,167",4.54,4.35%
6,2020/7/10,IUAA,5.87,"315,558,764","1,852,771,268","3,376,503,062",2.41,1.14%
7,2020/7/11,EIMI,29.17,"482,624,707","14,077,935,009","14,414,368,083",2.36,-
8,2020/7/11,IWDA,61.14,"381,473,169","23,325,116,610","23,956,121,932",1.75,-
9,2020/7/11,DPYA,4.59,"20,037,652","92,045,836","2,090,010,711",3.74,-
10,2020/7/11,LQDA,6.35,"371,685,380","2,361,425,668","11,114,542,265",3.07,2.12%
11,2020/7/11,EMCA,5.73,"65,266,066","374,182,755","1,072,826,851",4.53,4.34%
12,2020/7/11,IUAA,5.86,"324,558,764","1,903,272,544","3,425,132,712",2.4,1.11%
13,2020/7/12,EIMI,29.17,"482,624,707","14,077,935,009","14,414,368,083",2.36,-
14,2020/7/12,IWDA,61.14,"381,473,169","23,325,116,610","23,956,121,932",1.75,-
15,2020/7/12,DPYA,4.59,"20,037,652","92,045,836","2,090,010,711",3.74,-
16,2020/7/12,LQDA,6.35,"371,685,380","2,361,425,668","11,114,542,265",3.07,2.12%
17,2020/7/12,EMCA,5.73,"65,266,066","374,182,755","1,072,826,851",4.53,4.34%
18,2020/7/12,IUAA,5.86,"324,558,764","1,903,272,544","3,425,132,712",2.4,1.11%
19,2020/7/13,EIMI,29.17,"482,624,707","14,077,935,009","14,414,368,083",2.36,-
20,2020/7/13,IWDA,61.14,"381,473,169","23,325,116,610","23,956,121,932",1.75,-
